"","x"
"1",2
"2",1
"3",-1
"4",0
"5",-2
"6",2
"7",1
"8",-1
"9",1
"10",2
"11",1
"12",-1
"13",-1
"14",-1
"15",-1
"16",2
"17",0
"18",1
"19",0
"20",2
"21",2
"22",-1
"23",-1
"24",0
"25",-1
"26",1
"27",1
"28",1
"29",-1
"30",2
"31",0
"32",0
"33",-1
"34",0
"35",0
"36",-1
"37",-1
"38",-1
"39",-1
"40",0
"41",-1
"42",0
"43",-1
"44",-1
"45",2
"46",1
"47",0
"48",0
"49",2
"50",0
"51",0
"52",-1
"53",-1
"54",-1
"55",0
"56",0
"57",1
"58",-1
"59",0
"60",0
"61",2
"62",0
"63",0
"64",0
"65",1
"66",-1
"67",0
"68",-2
"69",-1
"70",-1
"71",0
"72",0
"73",-1
"74",-1
"75",0
"76",1
"77",2
"78",0
"79",1
"80",2
"81",-2
"82",1
"83",-1
"84",1
"85",-1
"86",1
"87",2
"88",2
"89",1
"90",1
"91",-2
"92",-2
"93",0
"94",0
"95",-2
"96",0
"97",-1
"98",1
"99",0
"100",0
"101",-1
"102",0
"103",0
"104",1
"105",-1
"106",-1
"107",1
"108",0
"109",0
"110",1
"111",-2
"112",-2
"113",0
"114",-2
"115",-2
"116",-2
"117",2
"118",1
"119",2
"120",2
"121",2
"122",1
"123",0
"124",-1
"125",-1
"126",1
"127",0
"128",1
"129",-2
"130",0
"131",-1
"132",0
"133",-1
"134",2
"135",0
"136",1
"137",-2
"138",1
"139",-1
"140",1
"141",-1
"142",1
"143",-1
"144",1
"145",2
"146",-2
"147",0
"148",-2
"149",-2
"150",-2
"151",-2
"152",-2
"153",-1
"154",2
"155",2
"156",2
"157",1
"158",-1
"159",-2
"160",-2
"161",2
"162",2
"163",1
"164",-2
"165",1
"166",-2
"167",-1
"168",0
"169",-2
"170",2
"171",1
"172",-1
"173",-2
"174",2
"175",2
"176",1
"177",-1
"178",-1
"179",-2
"180",2
"181",-2
"182",-2
"183",0
"184",-1
"185",2
"186",2
"187",2
"188",0
"189",2
"190",-2
"191",2
"192",0
"193",1
"194",2
"195",2
"196",0
"197",2
"198",1
"199",-1
"200",0
"201",2
"202",0
"203",-1
"204",-1
"205",-2
"206",2
"207",-1
"208",-1
"209",1
"210",-2
"211",0
"212",-2
"213",0
"214",1
"215",2
"216",-1
"217",-2
"218",-2
"219",-1
"220",-1
"221",-2
"222",-2
"223",2
"224",1
"225",2
"226",-1
"227",0
"228",2
"229",-1
"230",1
"231",1
"232",1
"233",1
"234",1
"235",-1
"236",1
"237",0
"238",0
"239",1
"240",0
"241",-1
"242",-1
"243",0
"244",1
"245",0
"246",-1
"247",2
"248",0
"249",-1
"250",-2
"251",2
"252",2
"253",0
"254",1
"255",0
"256",-1
"257",1
"258",-1
"259",0
"260",1
"261",2
"262",-1
"263",0
"264",0
"265",-2
"266",0
"267",1
"268",0
"269",1
"270",-1
"271",2
"272",2
"273",0
"274",0
"275",0
"276",2
"277",-2
"278",-1
"279",2
"280",2
"281",-1
"282",-1
"283",0
"284",-1
"285",1
"286",1
"287",0
"288",-2
"289",1
"290",-1
"291",-1
"292",0
"293",1
"294",-2
"295",2
"296",1
"297",1
"298",1
"299",1
"300",1
"301",1
"302",0
"303",-1
"304",2
"305",-1
"306",1
"307",0
"308",0
"309",2
"310",1
"311",-1
"312",1
"313",1
"314",-1
"315",-2
"316",0
"317",1
"318",0
"319",-1
"320",0
"321",0
"322",0
"323",-1
"324",0
"325",2
"326",0
"327",1
"328",-2
"329",0
"330",2
"331",-1
"332",2
"333",-2
"334",-1
"335",0
"336",1
"337",0
"338",0
"339",0
"340",-1
"341",-2
"342",1
"343",-2
"344",0
"345",0
"346",1
"347",0
"348",0
"349",1
"350",0
"351",-1
"352",-1
"353",-1
"354",1
"355",0
"356",1
"357",0
"358",-1
"359",0
"360",0
"361",0
"362",-2
"363",-2
"364",0
"365",-1
"366",2
"367",2
"368",0
"369",-1
"370",0
"371",0
"372",2
"373",-1
"374",-1
"375",2
"376",2
"377",2
"378",1
"379",1
"380",1
"381",-1
"382",0
"383",0
"384",-1
"385",0
"386",0
"387",0
"388",1
"389",-1
"390",0
"391",1
"392",-1
"393",0
"394",-1
"395",0
"396",-1
"397",0
"398",-2
"399",1
"400",-1
"401",0
"402",-1
"403",1
"404",1
"405",-2
"406",-1
"407",1
"408",0
"409",0
"410",1
"411",-1
"412",-1
"413",-1
"414",0
"415",-1
"416",-2
"417",-2
"418",-1
"419",0
"420",1
"421",0
"422",0
"423",0
"424",-2
"425",0
"426",1
"427",-2
"428",-2
"429",-1
"430",2
"431",-1
"432",1
"433",-1
"434",2
"435",1
"436",2
"437",2
"438",2
"439",0
"440",-1
"441",1
"442",-1
"443",2
"444",1
"445",0
"446",1
"447",0
"448",-2
"449",0
"450",0
"451",-2
"452",1
"453",2
"454",-1
"455",0
"456",-2
"457",1
"458",0
"459",-2
"460",0
"461",2
"462",2
"463",0
"464",-2
"465",-2
"466",0
"467",-2
"468",-2
"469",1
"470",-1
"471",1
"472",2
"473",2
"474",2
"475",1
"476",1
"477",2
"478",1
"479",2
"480",1
"481",0
"482",-2
"483",-2
"484",2
"485",-2
"486",0
"487",2
"488",0
"489",2
"490",0
"491",-1
"492",-2
"493",-1
"494",2
"495",-2
"496",-1
"497",-2
"498",2
"499",-2
"500",2
"501",2
"502",2
"503",-1
"504",1
"505",1
"506",-1
"507",1
"508",0
"509",-2
"510",2
"511",-2
"512",2
"513",0
"514",1
"515",1
"516",0
"517",-1
"518",2
"519",1
"520",1
"521",1
"522",0
"523",-1
"524",2
"525",2
"526",0
"527",-2
"528",-1
"529",0
"530",-1
"531",1
"532",1
"533",0
"534",0
"535",-1
"536",0
"537",0
"538",1
"539",-1
"540",-2
"541",2
"542",0
"543",2
"544",0
"545",1
"546",-1
"547",1
"548",2
"549",-2
"550",-2
"551",-1
"552",1
"553",-1
"554",-2
"555",-1
"556",-1
"557",-1
"558",0
"559",0
"560",1
"561",2
"562",1
"563",-1
"564",-1
"565",1
"566",-1
"567",-1
"568",0
"569",0
"570",1
"571",-1
"572",-1
"573",2
"574",-2
"575",1
"576",0
"577",1
"578",1
"579",-1
"580",-1
"581",2
"582",2
"583",2
"584",1
"585",-1
"586",2
"587",-2
"588",-1
"589",2
"590",1
"591",-2
"592",2
"593",2
"594",0
"595",0
"596",0
"597",-1
"598",1
"599",-1
"600",-1
"601",-2
"602",0
"603",-1
"604",0
"605",0
"606",1
"607",-1
"608",1
"609",0
"610",-1
"611",-1
"612",-1
"613",0
"614",2
"615",-1
"616",1
"617",0
"618",-1
"619",-2
"620",2
"621",-1
"622",-1
"623",-1
"624",1
"625",1
"626",0
"627",0
"628",-1
"629",0
"630",0
"631",-1
"632",-1
"633",-1
"634",-1
"635",-1
"636",-2
"637",2
"638",2
"639",-1
"640",1
"641",1
"642",1
"643",0
"644",-1
"645",0
"646",1
"647",0
"648",-1
"649",-2
"650",0
"651",-2
"652",0
"653",-1
"654",1
"655",-2
"656",-2
"657",-1
"658",-1
"659",2
"660",2
"661",0
"662",-1
"663",0
"664",1
"665",0
"666",0
"667",-2
"668",2
"669",-1
"670",-2
"671",-1
"672",-1
"673",0
"674",-1
"675",-2
"676",1
"677",-2
"678",0
"679",0
"680",1
"681",0
"682",2
"683",0
"684",1
"685",-1
"686",0
"687",0
"688",-2
"689",-2
"690",1
"691",2
"692",2
"693",0
"694",-2
"695",0
"696",1
"697",0
"698",0
"699",1
"700",-2
"701",0
"702",1
"703",-2
"704",-1
"705",1
"706",1
"707",-2
"708",-2
"709",0
"710",1
"711",0
"712",1
"713",1
"714",-2
"715",-1
"716",-2
"717",-2
"718",-1
"719",-2
"720",2
"721",0
"722",2
"723",2
"724",0
"725",1
"726",-2
"727",-2
"728",1
"729",-1
"730",2
"731",1
"732",-1
"733",0
"734",1
"735",1
"736",1
"737",1
"738",1
"739",1
"740",0
"741",1
"742",-2
"743",-2
"744",0
"745",-2
"746",-2
"747",-1
"748",-1
"749",-2
"750",1
"751",0
"752",2
"753",-2
"754",0
"755",-1
"756",-1
"757",2
"758",2
"759",-2
"760",0
"761",1
"762",1
"763",-2
"764",0
"765",-1
"766",0
"767",-2
"768",-1
"769",0
"770",1
"771",1
"772",-2
"773",-2
"774",2
"775",0
"776",-1
"777",-2
"778",2
"779",-2
"780",-1
"781",-2
"782",0
"783",1
"784",-1
"785",0
"786",-2
"787",2
"788",-2
"789",2
"790",1
"791",-1
"792",-1
"793",-2
"794",-1
"795",1
"796",1
"797",-2
"798",2
"799",0
"800",-2
"801",-2
"802",-2
"803",1
"804",2
"805",2
"806",2
"807",2
"808",1
"809",0
"810",2
"811",-1
"812",-2
"813",2
"814",-2
"815",2
"816",-2
"817",0
"818",2
"819",-2
