"","x"
"1",1
"2",0
"3",0
"4",0
"5",-1
"6",1
"7",0
"8",-1
"9",0
"10",1
"11",0
"12",0
"13",0
"14",0
"15",0
"16",1
"17",0
"18",0
"19",0
"20",1
"21",2
"22",0
"23",-1
"24",0
"25",0
"26",0
"27",0
"28",1
"29",0
"30",1
"31",0
"32",0
"33",0
"34",0
"35",0
"36",-1
"37",0
"38",0
"39",-1
"40",0
"41",0
"42",0
"43",0
"44",-1
"45",1
"46",0
"47",0
"48",0
"49",1
"50",0
"51",0
"52",0
"53",-1
"54",0
"55",0
"56",0
"57",0
"58",-1
"59",0
"60",0
"61",1
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",-1
"69",0
"70",0
"71",0
"72",0
"73",0
"74",-1
"75",0
"76",0
"77",1
"78",0
"79",0
"80",4
"81",-1
"82",0
"83",0
"84",0
"85",-1
"86",0
"87",1
"88",1
"89",0
"90",0
"91",-1
"92",-1
"93",0
"94",0
"95",-1
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",1
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",-1
"112",-1
"113",0
"114",-1
"115",-1
"116",-1
"117",1
"118",0
"119",1
"120",1
"121",1
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",-1
"130",0
"131",0
"132",0
"133",0
"134",1
"135",0
"136",0
"137",-1
"138",0
"139",0
"140",0
"141",-1
"142",0
"143",-1
"144",0
"145",1
"146",-4
"147",0
"148",-1
"149",-1
"150",-1
"151",-1
"152",-1
"153",-1
"154",2
"155",1
"156",1
"157",0
"158",0
"159",-1
"160",-1
"161",1
"162",2
"163",0
"164",-1
"165",0
"166",-1
"167",0
"168",0
"169",-1
"170",1
"171",0
"172",0
"173",-2
"174",1
"175",1
"176",0
"177",0
"178",0
"179",-1
"180",1
"181",-1
"182",-1
"183",0
"184",0
"185",2
"186",1
"187",1
"188",0
"189",1
"190",-1
"191",1
"192",0
"193",0
"194",2
"195",1
"196",0
"197",1
"198",0
"199",0
"200",0
"201",1
"202",0
"203",0
"204",-1
"205",-1
"206",1
"207",0
"208",0
"209",0
"210",-5
"211",0
"212",-1
"213",0
"214",0
"215",1
"216",-1
"217",-1
"218",-2
"219",0
"220",0
"221",-1
"222",-1
"223",1
"224",0
"225",1
"226",0
"227",0
"228",2
"229",0
"230",0
"231",0
"232",0
"233",0
"234",1
"235",0
"236",1
"237",0
"238",0
"239",1
"240",0
"241",0
"242",-1
"243",0
"244",0
"245",0
"246",0
"247",1
"248",0
"249",0
"250",-1
"251",1
"252",1
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",1
"262",0
"263",0
"264",0
"265",-1
"266",0
"267",0
"268",0
"269",0
"270",0
"271",2
"272",2
"273",0
"274",0
"275",0
"276",1
"277",-1
"278",0
"279",1
"280",1
"281",0
"282",0
"283",0
"284",-1
"285",1
"286",0
"287",0
"288",-1
"289",0
"290",-1
"291",0
"292",0
"293",0
"294",-1
"295",1
"296",0
"297",1
"298",0
"299",0
"300",1
"301",1
"302",0
"303",0
"304",1
"305",-1
"306",0
"307",0
"308",0
"309",1
"310",0
"311",0
"312",0
"313",0
"314",0
"315",-1
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",1
"326",0
"327",0
"328",-1
"329",0
"330",2
"331",0
"332",1
"333",-1
"334",-1
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",-1
"342",0
"343",-1
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",-1
"363",-1
"364",0
"365",0
"366",1
"367",1
"368",0
"369",0
"370",0
"371",0
"372",1
"373",-1
"374",0
"375",1
"376",1
"377",1
"378",0
"379",0
"380",1
"381",0
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",-1
"397",0
"398",-4
"399",0
"400",-1
"401",0
"402",0
"403",0
"404",0
"405",-1
"406",0
"407",0
"408",0
"409",0
"410",1
"411",0
"412",-1
"413",-1
"414",0
"415",0
"416",-1
"417",-1
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",-1
"425",0
"426",1
"427",-1
"428",-1
"429",0
"430",1
"431",-1
"432",0
"433",-1
"434",1
"435",0
"436",1
"437",1
"438",1
"439",0
"440",0
"441",1
"442",0
"443",1
"444",0
"445",0
"446",0
"447",0
"448",-1
"449",0
"450",0
"451",-1
"452",1
"453",1
"454",0
"455",0
"456",-1
"457",0
"458",0
"459",-2
"460",0
"461",1
"462",2
"463",0
"464",-1
"465",-1
"466",0
"467",-2
"468",-1
"469",1
"470",0
"471",0
"472",1
"473",1
"474",1
"475",0
"476",0
"477",1
"478",0
"479",1
"480",0
"481",0
"482",-1
"483",-1
"484",1
"485",-1
"486",0
"487",1
"488",0
"489",1
"490",0
"491",0
"492",-1
"493",-1
"494",1
"495",-1
"496",0
"497",-1
"498",1
"499",-1
"500",2
"501",1
"502",1
"503",0
"504",0
"505",1
"506",0
"507",0
"508",0
"509",-1
"510",1
"511",-1
"512",2
"513",0
"514",0
"515",0
"516",0
"517",0
"518",1
"519",0
"520",0
"521",0
"522",0
"523",0
"524",1
"525",2
"526",0
"527",-1
"528",0
"529",0
"530",0
"531",0
"532",0
"533",0
"534",0
"535",0
"536",0
"537",0
"538",0
"539",0
"540",-1
"541",1
"542",0
"543",1
"544",0
"545",0
"546",0
"547",0
"548",2
"549",-1
"550",-1
"551",0
"552",0
"553",0
"554",-1
"555",0
"556",-1
"557",0
"558",0
"559",0
"560",1
"561",1
"562",0
"563",-1
"564",0
"565",0
"566",0
"567",0
"568",0
"569",0
"570",0
"571",-1
"572",0
"573",1
"574",-1
"575",1
"576",0
"577",0
"578",1
"579",0
"580",0
"581",1
"582",1
"583",2
"584",0
"585",0
"586",1
"587",-1
"588",-1
"589",2
"590",1
"591",-1
"592",1
"593",1
"594",0
"595",0
"596",0
"597",0
"598",0
"599",0
"600",-1
"601",-1
"602",0
"603",0
"604",0
"605",0
"606",0
"607",0
"608",0
"609",0
"610",0
"611",0
"612",0
"613",0
"614",1
"615",0
"616",0
"617",0
"618",-1
"619",-1
"620",1
"621",0
"622",0
"623",-1
"624",0
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",-1
"632",-1
"633",-1
"634",0
"635",0
"636",-1
"637",1
"638",1
"639",-1
"640",0
"641",0
"642",0
"643",0
"644",0
"645",0
"646",0
"647",0
"648",0
"649",-1
"650",0
