"","x"
"1",0
"2",0
"3",0
"4",-2
"5",2
"6",2
"7",0
"8",-2
"9",-2
"10",1
"11",-2
"12",-1
"13",1
"14",1
"15",0
"16",-2
"17",0
"18",0
"19",-2
"20",2
"21",1
"22",-2
"23",0
"24",-1
"25",1
"26",1
"27",0
"28",1
"29",2
"30",1
"31",1
"32",-2
"33",-2
"34",-1
"35",0
"36",-1
"37",1
"38",-1
"39",2
"40",-2
"41",-2
"42",1
"43",2
"44",0
"45",1
"46",1
"47",2
"48",-2
"49",-1
"50",0
"51",2
"52",1
"53",-1
"54",-2
"55",0
"56",-1
"57",0
"58",-2
"59",-2
"60",-1
"61",2
"62",0
"63",1
"64",0
"65",-2
"66",1
"67",-2
"68",-2
"69",-2
"70",0
"71",2
"72",1
"73",2
"74",-1
"75",2
"76",2
"77",1
"78",-2
"79",-2
"80",2
"81",-2
"82",2
"83",1
"84",2
"85",2
"86",-2
"87",-2
"88",-1
"89",-2
"90",-1
"91",-2
"92",2
"93",-2
"94",-2
"95",1
"96",0
"97",0
"98",0
"99",0
"100",-2
"101",0
"102",1
"103",1
"104",1
"105",2
"106",1
"107",-1
"108",1
"109",0
"110",2
"111",0
"112",2
"113",0
"114",-2
"115",0
"116",-1
"117",2
"118",2
"119",1
"120",1
"121",-1
"122",-2
"123",0
"124",2
"125",0
"126",1
"127",-2
"128",-1
"129",-1
"130",1
"131",0
"132",-1
"133",-2
"134",-1
"135",-2
"136",1
"137",-2
"138",0
"139",-1
"140",1
"141",1
"142",0
"143",1
"144",1
"145",-1
"146",-2
"147",0
"148",1
"149",1
"150",1
"151",1
"152",-1
"153",-1
"154",-1
"155",-1
"156",-1
"157",0
"158",-1
"159",-2
"160",1
"161",-2
"162",-1
"163",2
"164",2
"165",1
"166",-2
"167",0
"168",2
"169",-2
"170",-2
"171",-2
"172",2
"173",1
"174",-1
"175",1
"176",-1
"177",0
"178",2
"179",0
"180",2
"181",2
"182",-2
"183",-2
"184",-2
"185",-2
"186",0
"187",0
"188",-1
"189",1
"190",0
"191",0
"192",2
"193",0
"194",0
"195",1
"196",2
"197",0
"198",-2
"199",0
"200",2
"201",-1
"202",-1
"203",-2
"204",2
"205",2
"206",-1
"207",-2
