"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",-1
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",-1
"17",0
"18",0
"19",-1
"20",1
"21",0
"22",-1
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",1
"30",0
"31",0
"32",-1
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",-1
"41",-1
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",-1
"49",0
"50",0
"51",1
"52",0
"53",0
"54",-1
"55",0
"56",0
"57",0
"58",-1
"59",-1
"60",0
"61",1
"62",0
"63",0
"64",0
"65",-1
"66",0
"67",-1
"68",-1
"69",-1
"70",0
"71",0
"72",0
"73",0
"74",0
"75",1
"76",0
"77",0
"78",0
"79",-1
"80",1
"81",-1
"82",1
"83",0
"84",1
"85",1
"86",0
"87",-1
"88",0
"89",-1
"90",0
"91",-1
"92",1
"93",-1
"94",-1
"95",0
"96",0
"97",0
"98",0
"99",0
"100",-1
"101",0
"102",0
"103",0
"104",0
"105",1
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",1
"113",0
"114",-1
"115",0
"116",0
"117",1
"118",1
"119",0
"120",0
"121",0
"122",-1
"123",0
"124",0
"125",0
"126",0
"127",-1
"128",0
"129",0
"130",0
"131",0
"132",0
"133",-1
"134",0
"135",-1
"136",0
"137",-1
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",-1
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",-1
"160",0
"161",-1
"162",0
"163",1
"164",1
"165",0
"166",-1
"167",0
"168",0
"169",-1
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",1
"179",0
"180",1
"181",1
"182",-1
"183",0
"184",-1
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",1
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",2
"201",0
"202",0
"203",-1
"204",1
"205",1
"206",0
"207",0
"208",0
"209",1
"210",1
"211",0
"212",0
"213",1
"214",0
"215",0
"216",0
