"","x"
"1",2
"2",0
"3",1
"4",2
"5",-2
"6",1
"7",0
"8",0
"9",-1
"10",-1
"11",0
"12",-2
"13",2
"14",1
"15",1
"16",-1
"17",-1
"18",0
"19",0
"20",1
"21",0
"22",-1
"23",0
"24",2
"25",2
"26",-1
"27",1
"28",2
"29",0
"30",1
"31",0
"32",0
"33",1
"34",-2
"35",0
"36",0
"37",0
"38",0
"39",1
"40",-1
"41",0
"42",-2
"43",-1
"44",-1
"45",0
"46",1
"47",-1
"48",1
"49",-1
"50",0
"51",2
"52",-1
"53",-2
"54",-1
"55",2
"56",1
"57",1
"58",-2
"59",-1
"60",-1
"61",0
"62",2
"63",2
"64",2
"65",-1
"66",-2
"67",2
"68",1
"69",0
"70",-2
"71",-2
"72",-2
"73",-1
"74",2
"75",1
"76",2
"77",-1
"78",0
"79",0
"80",2
"81",-2
"82",2
"83",-2
"84",2
"85",0
"86",-1
"87",2
"88",-2
"89",1
"90",0
"91",2
"92",1
"93",-1
"94",1
"95",1
"96",0
"97",-1
"98",-2
"99",2
"100",1
"101",1
"102",1
"103",1
"104",-1
"105",0
"106",0
"107",0
"108",1
"109",0
"110",2
"111",1
"112",1
"113",0
"114",-2
"115",1
"116",0
"117",1
"118",0
"119",1
"120",0
"121",2
"122",0
"123",-2
"124",1
"125",1
"126",-2
"127",0
"128",1
"129",1
"130",-1
"131",-1
"132",-2
"133",-1
"134",0
"135",0
"136",2
"137",1
"138",0
"139",-1
"140",2
"141",-1
"142",-1
"143",-1
"144",0
"145",1
"146",-2
"147",-2
"148",1
"149",2
"150",2
"151",2
"152",0
"153",0
"154",0
"155",1
"156",1
"157",1
"158",-1
"159",1
"160",0
"161",2
"162",-2
"163",2
"164",1
"165",-1
"166",-2
"167",-1
"168",1
"169",-1
"170",-2
"171",0
"172",0
"173",2
"174",0
"175",1
"176",2
"177",1
"178",-2
"179",-1
"180",-1
"181",0
"182",-1
"183",1
"184",1
"185",0
"186",-2
"187",2
"188",1
"189",-2
"190",-2
"191",-1
"192",2
"193",2
"194",-1
"195",0
"196",2
"197",2
"198",1
"199",-2
"200",2
"201",2
"202",-2
"203",2
"204",2
"205",-2
"206",-1
"207",1
"208",-1
"209",1
"210",1
"211",1
"212",1
"213",-2
"214",1
"215",1
"216",1
"217",-2
"218",2
"219",-2
"220",0
"221",-1
"222",0
"223",2
"224",-2
"225",-2
"226",0
"227",1
"228",1
"229",1
"230",0
"231",0
"232",1
"233",2
"234",-1
"235",-1
"236",-1
"237",-1
"238",1
"239",0
"240",2
"241",1
"242",2
"243",2
"244",-1
"245",0
"246",-1
"247",2
"248",0
"249",0
"250",-1
"251",1
"252",-1
"253",-1
"254",2
"255",-1
"256",-1
"257",2
"258",0
"259",1
"260",0
"261",-1
"262",-1
"263",1
"264",-1
"265",-2
"266",-1
"267",1
"268",0
"269",1
"270",-1
"271",0
"272",2
"273",-1
"274",2
"275",0
"276",-1
"277",0
"278",-2
"279",0
"280",-1
"281",1
"282",1
"283",-2
"284",1
"285",-1
"286",0
"287",0
"288",-2
"289",1
"290",1
"291",0
"292",-2
"293",0
"294",2
"295",-1
"296",-1
"297",1
"298",0
"299",2
"300",-1
"301",-1
"302",2
"303",-2
"304",-1
"305",0
"306",-1
"307",-1
"308",0
"309",0
"310",-1
"311",0
"312",1
"313",-1
"314",-2
"315",-2
"316",-2
"317",1
"318",1
"319",-1
"320",0
"321",-1
"322",2
"323",1
"324",1
"325",1
"326",-1
"327",0
"328",1
"329",0
"330",2
"331",1
"332",-1
"333",1
"334",0
"335",1
"336",-1
"337",-1
"338",-2
"339",-1
"340",2
"341",-2
"342",-1
"343",2
"344",-1
"345",1
"346",-1
"347",-1
"348",-1
"349",0
"350",-1
"351",2
"352",1
"353",2
"354",-2
"355",2
"356",-2
"357",1
"358",2
"359",2
"360",1
"361",-1
"362",1
"363",-1
"364",-1
"365",2
"366",0
"367",2
"368",2
"369",2
"370",2
"371",2
"372",1
"373",1
"374",0
"375",1
"376",-2
"377",0
"378",-2
"379",1
"380",0
"381",1
"382",0
"383",-2
"384",-1
"385",-2
"386",0
"387",2
"388",1
"389",1
"390",0
"391",1
"392",0
"393",1
"394",-2
"395",0
"396",-2
"397",1
"398",-2
"399",2
"400",-1
"401",2
"402",2
"403",-1
"404",1
"405",2
"406",2
"407",0
"408",-2
"409",-1
"410",2
"411",-2
"412",-2
"413",2
"414",-2
"415",0
"416",2
"417",-2
"418",2
"419",1
"420",2
"421",2
"422",-1
"423",1
"424",0
"425",-1
"426",0
"427",1
"428",-2
"429",-2
"430",1
"431",-1
"432",1
"433",-2
"434",0
"435",1
"436",1
"437",1
"438",0
"439",0
"440",1
"441",-1
"442",-2
"443",-1
"444",0
"445",2
"446",-1
"447",2
"448",1
"449",2
"450",2
"451",-2
"452",2
"453",1
"454",1
"455",0
"456",-1
"457",1
"458",-2
"459",2
"460",1
"461",-1
"462",-1
"463",2
"464",0
"465",1
"466",-2
"467",2
"468",2
"469",1
"470",2
"471",-1
"472",-1
"473",-2
"474",2
"475",-2
"476",-2
"477",-2
"478",-2
"479",1
"480",-2
"481",0
"482",0
"483",-2
"484",-1
"485",1
"486",-2
"487",1
"488",-1
"489",0
"490",0
"491",0
"492",0
"493",-1
"494",1
"495",0
"496",1
"497",-1
"498",0
"499",0
"500",-1
"501",-2
"502",-1
"503",0
"504",2
"505",0
"506",1
"507",-1
"508",1
"509",-1
"510",-1
"511",2
"512",2
"513",-1
"514",-1
"515",-2
"516",-1
"517",1
"518",-1
"519",-2
"520",1
"521",1
"522",1
"523",-2
"524",0
"525",-1
"526",1
"527",0
"528",1
"529",0
"530",-1
"531",0
"532",1
"533",1
"534",1
"535",-2
"536",1
"537",0
"538",-1
"539",-1
"540",-1
"541",1
"542",-1
"543",2
"544",1
"545",-1
"546",1
"547",-2
"548",1
"549",-2
"550",1
"551",1
"552",-1
"553",-1
"554",-1
"555",0
"556",2
"557",-2
"558",-2
"559",2
"560",-1
"561",0
"562",2
"563",0
"564",2
"565",1
"566",0
"567",-1
"568",0
"569",0
"570",-1
"571",0
"572",-2
"573",-1
"574",-2
"575",2
"576",2
"577",0
"578",1
"579",-2
"580",-1
"581",-2
"582",-1
"583",-2
"584",1
"585",1
"586",0
"587",-1
"588",-2
"589",1
"590",-2
"591",0
"592",0
"593",1
"594",-1
"595",1
"596",1
"597",-2
"598",2
"599",-1
"600",-2
"601",-1
"602",2
"603",-1
"604",-2
"605",2
"606",1
"607",2
"608",-2
"609",-1
"610",0
"611",2
"612",0
"613",2
"614",0
"615",0
"616",2
"617",2
"618",1
"619",-2
"620",0
"621",0
"622",0
"623",0
"624",0
"625",2
"626",0
"627",0
"628",-2
"629",1
"630",0
"631",1
"632",0
"633",0
"634",-2
"635",-2
"636",-2
"637",0
"638",0
"639",0
"640",1
"641",2
"642",1
"643",2
"644",-2
"645",-2
"646",2
"647",-2
"648",0
"649",1
"650",-2
"651",-1
"652",2
"653",-1
"654",2
"655",-1
"656",1
"657",2
"658",0
"659",2
"660",2
"661",0
"662",-2
"663",2
"664",-1
"665",1
"666",1
"667",-1
"668",2
"669",0
"670",-1
"671",-2
"672",-1
"673",1
"674",-2
"675",-2
"676",-2
"677",1
"678",2
"679",0
"680",-1
"681",-2
"682",2
"683",2
"684",-2
"685",2
"686",2
"687",2
"688",0
"689",2
"690",-2
"691",-1
"692",-2
"693",2
"694",-2
"695",-1
"696",2
"697",-2
"698",2
"699",-1
"700",1
"701",-1
"702",2
"703",-2
"704",1
"705",1
"706",-1
"707",2
"708",-2
"709",-1
"710",1
"711",-1
"712",-2
"713",-2
"714",0
"715",-2
"716",2
"717",-1
"718",-1
"719",1
"720",-2
"721",-2
"722",2
"723",-2
"724",-2
"725",1
"726",1
"727",-2
"728",0
"729",1
"730",1
"731",0
"732",0
"733",1
"734",0
"735",0
"736",1
"737",0
"738",0
"739",0
"740",-1
"741",1
"742",-1
"743",-1
"744",0
"745",0
"746",-1
"747",2
"748",0
"749",1
"750",2
"751",-2
"752",-1
"753",0
"754",-2
"755",-1
"756",2
"757",-2
"758",-2
"759",1
"760",-1
"761",2
"762",-1
"763",-1
"764",2
"765",-1
"766",1
"767",-2
"768",-1
"769",-1
"770",1
"771",2
"772",-1
"773",-2
"774",-1
"775",2
"776",-2
"777",2
"778",0
"779",2
"780",-2
"781",1
"782",-2
"783",0
"784",-2
"785",-2
"786",2
"787",2
"788",1
"789",2
"790",2
"791",2
"792",1
"793",-2
"794",2
"795",1
"796",2
"797",-2
"798",-2
"799",2
"800",-1
"801",-1
"802",0
"803",1
"804",2
"805",2
"806",-2
"807",-1
"808",-2
"809",2
"810",-2
"811",0
"812",2
"813",-2
"814",2
"815",2
"816",-2
"817",-1
"818",1
"819",2
"820",-2
"821",-2
"822",-2
"823",1
"824",2
"825",-1
"826",2
"827",1
"828",2
"829",1
"830",1
"831",-2
"832",2
"833",-1
"834",-2
"835",-1
"836",1
"837",2
"838",0
"839",1
"840",2
"841",1
"842",0
"843",2
"844",-1
"845",2
"846",1
"847",2
"848",-2
"849",2
"850",2
"851",-1
"852",-1
"853",-2
"854",-1
"855",1
"856",-1
"857",-1
"858",-1
"859",2
"860",2
"861",1
"862",0
"863",-2
"864",1
"865",1
"866",2
"867",0
"868",-2
"869",-1
"870",1
"871",-1
"872",2
"873",-1
"874",0
"875",-2
"876",-1
"877",2
"878",0
"879",2
"880",-2
"881",-2
"882",2
"883",2
"884",-2
"885",0
"886",2
"887",-2
"888",-1
"889",-2
"890",-2
"891",0
"892",0
"893",1
"894",1
"895",-1
"896",-2
"897",0
"898",0
"899",-1
"900",-2
"901",-1
"902",-2
"903",2
"904",-2
"905",1
"906",2
"907",0
"908",2
"909",-1
"910",2
"911",0
"912",2
"913",-1
"914",1
"915",2
"916",-2
"917",-2
"918",-1
"919",1
"920",2
"921",-1
"922",-2
"923",-2
"924",0
"925",1
"926",1
"927",-1
"928",0
"929",1
"930",1
"931",0
"932",2
"933",-2
"934",-1
"935",-2
"936",0
"937",1
"938",-2
"939",0
"940",-2
"941",1
"942",0
"943",-1
"944",-2
"945",-1
