"","x"
"1",1
"2",0
"3",0
"4",1
"5",-1
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",-1
"13",1
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",1
"25",1
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",-1
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",-1
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",1
"52",0
"53",-1
"54",0
"55",1
"56",0
"57",0
"58",-1
"59",-1
"60",0
"61",0
"62",0
"63",1
"64",1
"65",0
"66",-1
"67",1
"68",0
"69",0
"70",-1
"71",-1
"72",-1
"73",0
"74",1
"75",0
"76",1
"77",0
"78",0
"79",0
"80",1
"81",-1
"82",2
"83",-1
"84",1
"85",0
"86",0
"87",1
"88",-1
"89",0
"90",0
"91",1
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",-1
"99",1
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",1
"111",0
"112",0
"113",0
"114",-1
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",1
"122",0
"123",-1
"124",0
"125",0
"126",-1
"127",0
"128",0
"129",0
"130",0
"131",0
"132",-1
"133",0
"134",0
"135",0
"136",1
"137",0
"138",0
"139",0
"140",1
"141",0
"142",0
"143",0
"144",0
"145",0
"146",-1
"147",-1
"148",0
"149",0
"150",0
"151",1
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",1
"162",-1
"163",1
"164",0
"165",0
"166",-1
"167",-1
"168",0
"169",0
"170",-1
"171",0
"172",0
"173",1
"174",0
"175",0
"176",0
"177",0
"178",-1
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",-1
"187",1
"188",0
"189",-1
"190",-1
"191",0
"192",1
"193",1
"194",0
"195",0
"196",1
"197",1
"198",0
"199",-1
"200",1
"201",1
"202",-1
"203",1
"204",1
"205",-1
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",-1
"214",0
"215",0
"216",0
"217",-1
"218",1
"219",-1
"220",0
"221",-1
"222",0
"223",1
"224",-1
"225",-1
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",1
"234",0
"235",0
"236",-1
"237",0
"238",0
"239",0
"240",1
"241",0
"242",1
"243",1
"244",0
"245",0
"246",0
"247",1
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",1
"255",0
"256",0
"257",1
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",-1
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",1
"273",0
"274",1
"275",0
"276",-1
"277",0
"278",-1
"279",0
"280",0
"281",0
"282",0
"283",-1
"284",0
"285",0
"286",0
"287",0
"288",-1
"289",0
"290",0
"291",0
"292",-1
"293",0
"294",1
"295",0
"296",0
"297",0
"298",0
"299",1
"300",0
"301",0
"302",1
"303",-1
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",-1
"315",-1
"316",-1
"317",0
"318",0
"319",0
"320",0
"321",0
"322",1
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",1
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",-1
"339",0
"340",1
"341",-1
"342",0
"343",1
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",1
"352",0
"353",1
"354",-1
"355",1
"356",-2
"357",0
"358",1
"359",1
"360",0
"361",-1
"362",0
"363",0
"364",0
"365",1
"366",0
"367",10
"368",1
"369",1
"370",1
"371",1
"372",0
"373",0
"374",0
"375",0
"376",-1
"377",0
"378",-1
"379",0
"380",0
"381",0
"382",0
"383",-1
"384",0
"385",-1
"386",0
"387",1
"388",0
"389",0
"390",0
"391",0
"392",0
"393",0
"394",-1
"395",0
"396",-1
"397",0
"398",-1
"399",1
"400",0
"401",1
"402",1
"403",0
"404",0
"405",1
"406",1
"407",0
"408",-2
"409",0
"410",1
"411",-1
"412",-1
"413",1
"414",-1
"415",0
"416",1
"417",-1
"418",1
"419",0
"420",1
"421",1
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",-1
"429",-1
"430",0
"431",0
"432",0
"433",-1
"434",0
"435",0
"436",0
"437",0
"438",0
"439",0
"440",0
"441",0
"442",-1
"443",0
"444",0
"445",1
"446",0
"447",0
"448",0
"449",1
"450",1
"451",-1
"452",1
"453",0
"454",0
"455",0
"456",0
"457",0
"458",-2
"459",1
"460",0
"461",0
"462",0
"463",1
"464",0
"465",0
"466",-1
"467",1
"468",1
"469",0
"470",1
"471",0
"472",0
"473",-1
"474",1
"475",-1
"476",-1
"477",-1
"478",-1
"479",0
"480",-1
"481",0
"482",0
"483",-1
"484",0
"485",0
"486",-1
"487",0
"488",0
"489",0
"490",0
"491",0
"492",0
"493",0
"494",0
"495",0
"496",0
"497",0
"498",0
"499",0
"500",0
"501",-1
"502",0
"503",0
"504",1
"505",0
"506",0
"507",0
"508",0
"509",0
"510",0
"511",1
"512",1
"513",-1
"514",0
"515",-1
"516",0
"517",0
"518",0
"519",-1
"520",0
"521",0
"522",0
"523",-1
"524",0
"525",0
"526",0
"527",0
"528",0
"529",0
"530",0
"531",0
"532",0
"533",0
"534",0
"535",-1
"536",0
"537",0
"538",0
"539",0
"540",0
"541",0
"542",0
"543",1
"544",0
"545",0
"546",0
"547",-1
"548",0
"549",-1
"550",0
"551",0
"552",-1
"553",0
"554",0
"555",0
"556",1
"557",-1
"558",-1
"559",1
"560",0
"561",0
"562",1
"563",0
"564",1
"565",0
"566",0
"567",0
"568",0
"569",0
"570",0
"571",0
"572",-1
"573",0
"574",-1
"575",1
"576",1
"577",0
"578",0
"579",-1
"580",0
"581",-1
"582",0
"583",-1
"584",0
"585",0
"586",0
"587",0
"588",-1
"589",0
"590",-2
"591",0
"592",0
"593",0
"594",0
"595",0
"596",0
"597",-1
"598",2
"599",0
"600",-1
"601",0
"602",1
"603",0
"604",-3
"605",1
"606",0
"607",3
"608",-1
"609",0
"610",0
"611",10
"612",0
"613",0
"614",0
"615",0
"616",2
"617",1
"618",0
"619",-1
"620",0
"621",0
"622",0
"623",0
"624",0
"625",1
"626",0
"627",0
"628",-1
"629",0
"630",0
"631",0
"632",0
"633",0
"634",-1
"635",-1
"636",-1
"637",0
"638",0
"639",0
"640",0
"641",1
"642",0
"643",1
"644",-1
"645",-1
"646",1
"647",-1
"648",0
"649",0
"650",-1
"651",0
"652",1
"653",0
