"","x"
"1",-2
"2",-2
"3",-1
"4",2
"5",-1
"6",2
"7",-1
"8",-2
"9",-2
"10",2
"11",-2
"12",-2
"13",2
"14",-2
"15",-2
"16",-2
"17",-2
"18",-2
"19",-2
"20",-2
"21",-2
"22",-2
"23",0
"24",2
"25",2
"26",2
"27",2
"28",2
"29",1
"30",-2
"31",-2
"32",2
"33",2
"34",-2
"35",-1
"36",2
"37",-1
"38",-2
"39",-2
"40",2
"41",1
"42",-2
"43",1
"44",-1
"45",-2
"46",2
"47",-2
"48",0
"49",1
"50",1
"51",-2
"52",2
"53",1
"54",-1
"55",0
"56",-2
"57",2
"58",-1
"59",-2
"60",-2
"61",-1
"62",-2
"63",-2
"64",1
"65",-2
"66",0
"67",-2
"68",-2
"69",-2
"70",1
"71",2
"72",-2
"73",-2
"74",0
"75",-2
"76",2
"77",-1
"78",-2
"79",-2
"80",-2
"81",-2
"82",-2
"83",2
"84",2
"85",2
"86",2
"87",1
"88",-2
"89",2
"90",-2
"91",2
"92",-1
"93",-1
"94",-2
"95",-1
"96",0
"97",0
"98",-1
"99",0
"100",2
"101",2
"102",-2
"103",0
"104",-1
"105",0
"106",2
"107",2
"108",0
"109",1
"110",2
"111",2
"112",-1
"113",-2
"114",-2
"115",2
"116",2
"117",2
"118",1
"119",-2
"120",-2
"121",2
"122",0
"123",0
"124",2
"125",1
"126",-2
"127",2
"128",2
"129",2
"130",1
"131",0
"132",-1
"133",-1
"134",-2
"135",0
"136",-1
"137",1
"138",1
"139",2
"140",1
"141",0
"142",1
"143",-1
"144",0
"145",-2
"146",-2
"147",0
"148",1
"149",0
"150",0
"151",0
"152",0
"153",-1
"154",0
"155",1
"156",-2
"157",1
"158",2
"159",2
"160",2
"161",2
"162",2
"163",2
"164",2
"165",2
"166",-2
"167",-1
"168",2
"169",2
"170",-1
"171",2
"172",2
"173",0
"174",-1
"175",1
"176",1
"177",2
"178",2
"179",2
"180",2
"181",2
"182",2
"183",1
"184",-2
"185",-2
"186",2
"187",2
"188",2
"189",2
"190",2
"191",-1
"192",2
"193",2
"194",2
"195",2
"196",2
"197",2
"198",-2
