"","x"
"1",-2
"2",-1
"3",0
"4",1
"5",-1
"6",1
"7",0
"8",-5
"9",-1
"10",2
"11",-1
"12",-2
"13",1
"14",-2
"15",-2
"16",-1
"17",-1
"18",-1
"19",-1
"20",-1
"21",-2
"22",-1
"23",0
"24",2
"25",4
"26",4
"27",4
"28",3
"29",0
"30",-5
"31",-2
"32",3
"33",4
"34",-4
"35",-1
"36",3
"37",-1
"38",-2
"39",-1
"40",2
"41",0
"42",-1
"43",0
"44",0
"45",-2
"46",2
"47",-1
"48",0
"49",0
"50",0
"51",-1
"52",1
"53",0
"54",0
"55",0
"56",-2
"57",1
"58",0
"59",-1
"60",-2
"61",0
"62",-2
"63",-1
"64",0
"65",-1
"66",0
"67",-2
"68",-1
"69",-1
"70",0
"71",1
"72",-1
"73",-2
"74",0
"75",-1
"76",1
"77",0
"78",-2
"79",-1
"80",-2
"81",-1
"82",-3
"83",2
"84",4
"85",4
"86",4
"87",0
"88",-2
"89",1
"90",-1
"91",1
"92",0
"93",0
"94",-1
"95",-1
"96",0
"97",0
"98",0
"99",0
"100",1
"101",2
"102",-1
"103",0
"104",-1
"105",0
"106",2
"107",1
"108",0
"109",1
"110",1
"111",1
"112",0
"113",-2
"114",-1
"115",1
"116",2
"117",1
"118",0
"119",-1
"120",-1
"121",1
"122",0
"123",0
"124",1
"125",0
"126",-1
"127",1
"128",2
"129",2
"130",0
"131",0
"132",0
"133",-1
"134",-1
"135",0
"136",0
"137",0
"138",1
"139",1
"140",0
"141",0
"142",0
"143",0
"144",0
"145",-1
"146",-1
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",-1
"157",0
"158",1
"159",1
"160",1
"161",1
"162",1
"163",1
"164",2
"165",1
"166",-2
"167",0
"168",1
"169",1
"170",0
"171",1
"172",1
"173",0
"174",0
"175",0
"176",0
"177",1
"178",3
"179",3
"180",3
"181",4
"182",4
"183",0
"184",-2
"185",-1
"186",1
"187",3
"188",5
"189",5
"190",2
"191",0
"192",4
"193",4
"194",3
"195",4
"196",3
"197",1
"198",-1
"199",-5
"200",-5
"201",-5
"202",-2
"203",4
"204",4
"205",2
"206",-2
"207",1
"208",1
"209",1
"210",1
"211",2
"212",4
"213",2
"214",-3
"215",3
"216",1
"217",-1
"218",1
"219",1
"220",-1
"221",0
"222",0
"223",0
"224",0
"225",0
"226",2
"227",4
"228",4
"229",0
"230",2
"231",3
"232",1
"233",3
"234",4
"235",3
"236",-3
"237",-5
"238",4
"239",4
"240",-3
"241",-3
"242",0
"243",0
"244",2
"245",-3
"246",-3
"247",-2
"248",0
"249",2
"250",1
"251",2
"252",2
"253",0
"254",2
"255",3
"256",1
"257",2
"258",0
"259",-1
"260",-1
"261",1
"262",1
"263",1
"264",-1
"265",-1
"266",2
"267",3
"268",1
"269",-3
"270",-2
"271",2
"272",1
"273",0
"274",0
"275",2
"276",2
"277",1
"278",0
"279",3
"280",1
"281",1
"282",1
"283",2
"284",3
"285",3
"286",-4
"287",3
"288",2
"289",1
"290",0
"291",0
"292",1
"293",2
"294",2
"295",1
"296",1
"297",1
"298",3
"299",4
"300",-4
"301",-5
"302",-1
"303",4
"304",2
"305",1
"306",2
"307",2
"308",1
"309",1
"310",1
"311",0
"312",1
"313",0
"314",-1
"315",1
"316",1
"317",0
"318",0
"319",1
"320",-1
"321",-5
"322",-3
"323",3
"324",-2
"325",-5
"326",-5
"327",-3
"328",1
"329",-2
"330",-6
"331",-5
"332",-3
"333",2
"334",4
"335",7
"336",2
"337",-5
"338",-5
"339",2
"340",-2
"341",-2
"342",0
"343",1
"344",4
"345",-1
"346",1
"347",2
"348",1
"349",-1
"350",0
"351",-1
"352",-4
"353",-3
"354",-2
"355",-3
"356",-5
"357",-5
"358",3
"359",-3
"360",-3
"361",-1
"362",3
"363",1
"364",-1
"365",1
"366",3
"367",2
"368",2
"369",2
"370",3
"371",4
"372",-3
"373",3
"374",3
"375",-5
"376",2
"377",-2
"378",-1
"379",1
"380",0
"381",0
"382",1
"383",2
"384",2
"385",1
"386",0
"387",-1
"388",0
"389",1
"390",0
"391",1
"392",0
"393",0
"394",-2
"395",-2
"396",0
"397",1
"398",-2
"399",-2
"400",-1
"401",-4
"402",-2
"403",4
"404",2
"405",-4
"406",-1
"407",0
"408",0
"409",-2
"410",-1
"411",0
"412",0
"413",-2
"414",1
"415",2
"416",1
"417",1
"418",2
"419",0
"420",0
"421",-2
"422",-1
"423",0
"424",-1
"425",0
"426",0
"427",1
"428",-1
"429",0
"430",-1
"431",-2
"432",-1
"433",-1
"434",-2
"435",-1
"436",2
"437",1
"438",-2
"439",-1
"440",0
"441",-1
"442",-1
"443",-1
"444",-2
"445",-1
"446",3
"447",0
"448",-2
"449",-1
"450",1
"451",0
"452",0
"453",1
"454",3
"455",3
"456",1
"457",-1
"458",0
"459",0
"460",-2
"461",-3
"462",-2
"463",3
"464",0
"465",-1
"466",0
"467",1
"468",1
"469",-2
"470",0
"471",0
"472",0
"473",0
"474",-1
"475",2
"476",1
"477",2
"478",-1
"479",0
"480",-2
"481",1
"482",-1
"483",0
"484",0
"485",1
"486",0
"487",0
"488",0
"489",0
"490",-1
"491",-2
"492",-1
"493",0
"494",-1
"495",-1
"496",-1
"497",-2
"498",1
"499",-2
"500",-1
"501",3
"502",4
"503",-1
"504",1
"505",-1
"506",-1
"507",1
"508",0
"509",1
"510",0
"511",-1
"512",-2
"513",0
"514",1
"515",4
"516",-2
"517",-1
"518",0
"519",1
"520",1
"521",0
"522",0
"523",0
"524",0
"525",-1
"526",0
"527",-1
"528",0
"529",-1
"530",-1
"531",0
"532",-1
"533",-1
"534",0
"535",0
"536",1
"537",-1
"538",0
"539",1
"540",1
"541",0
"542",1
"543",1
"544",2
"545",1
"546",2
"547",1
"548",0
"549",-2
"550",1
"551",2
"552",3
"553",2
"554",-1
"555",3
"556",2
"557",-4
"558",2
"559",-1
"560",0
"561",-1
"562",1
"563",1
"564",1
"565",1
"566",-1
"567",-2
"568",-2
"569",-1
"570",-1
"571",-3
"572",-3
"573",3
"574",3
"575",-3
"576",2
"577",-3
"578",0
"579",-2
"580",0
"581",2
"582",1
"583",0
"584",0
"585",0
"586",0
"587",0
"588",0
"589",-1
"590",0
"591",1
"592",1
"593",0
"594",0
"595",2
"596",1
"597",-1
"598",1
"599",1
"600",0
"601",0
"602",-1
"603",0
"604",0
"605",0
"606",-1
"607",-1
"608",1
"609",0
"610",2
"611",1
"612",-1
"613",0
"614",-1
"615",-1
"616",0
"617",0
"618",1
"619",-1
"620",-1
"621",0
"622",0
"623",0
"624",0
"625",0
"626",0
"627",0
"628",1
"629",1
"630",0
"631",0
"632",0
"633",0
"634",0
"635",0
"636",0
"637",0
"638",0
"639",0
"640",0
"641",0
"642",0
"643",1
"644",1
"645",0
"646",0
"647",1
"648",1
"649",1
"650",-1
"651",1
"652",-1
"653",-1
"654",-1
"655",0
"656",0
"657",0
"658",0
"659",0
"660",1
"661",-1
"662",0
"663",0
"664",0
"665",-1
"666",0
"667",0
"668",-1
"669",-2
"670",0
"671",0
"672",-1
"673",1
"674",1
"675",0
"676",0
"677",-1
"678",0
"679",0
"680",0
"681",0
"682",0
"683",0
"684",0
"685",2
"686",1
"687",0
"688",0
"689",0
"690",0
"691",-1
"692",0
"693",0
"694",0
"695",0
"696",0
"697",-2
"698",0
"699",1
"700",0
"701",0
"702",0
"703",0
"704",0
"705",0
"706",0
"707",1
"708",0
"709",-1
"710",0
"711",0
"712",1
"713",0
"714",0
"715",0
"716",0
"717",0
"718",-1
"719",-2
"720",0
"721",1
"722",1
"723",0
"724",0
"725",1
"726",1
"727",1
"728",2
"729",1
"730",2
"731",0
"732",1
"733",0
"734",-1
"735",0
"736",1
"737",-1
"738",0
"739",1
"740",0
"741",2
"742",2
"743",1
"744",1
"745",0
"746",1
"747",-1
"748",1
"749",0
"750",0
"751",0
"752",0
"753",1
"754",2
"755",-2
"756",0
"757",-1
"758",0
"759",0
"760",-1
"761",0
"762",1
"763",0
"764",0
"765",0
"766",1
"767",2
"768",0
"769",1
"770",1
"771",1
"772",0
"773",0
"774",-2
"775",0
"776",1
"777",-1
"778",0
"779",1
"780",1
"781",-1
"782",0
"783",-1
"784",-1
"785",0
"786",0
"787",-1
"788",0
"789",0
"790",0
"791",0
"792",0
"793",0
"794",0
"795",0
"796",0
"797",0
"798",0
"799",0
"800",0
"801",0
"802",0
"803",1
"804",1
"805",0
"806",0
"807",-1
"808",0
"809",0
"810",0
"811",2
"812",0
"813",0
"814",-1
"815",0
"816",-1
"817",0
"818",0
"819",0
"820",0
"821",-1
"822",-1
"823",-2
"824",0
"825",0
"826",0
"827",0
"828",-1
"829",1
"830",1
"831",1
"832",0
"833",1
